WE HAVE TOKENIZER
loaded tokenizer
<sentencepiece.SentencePieceProcessor; proxy of <Swig Object of type 'sentencepiece::SentencePieceProcessor *' at 0x314a21d10> >
DONE
TINYSTORIES DATASET LOADED...
Iteration 313, Loss: 5.786050319671631
Iteration 314, Loss: 6.401430606842041
Iteration 315, Loss: 6.065830707550049
Iteration 316, Loss: 6.437551021575928
Iteration 317, Loss: 6.114579200744629
Iteration 318, Loss: 6.290623188018799
Iteration 319, Loss: 6.115253448486328
Iteration 320, Loss: 5.9902567863464355
Iteration 321, Loss: 6.287322998046875
Iteration 322, Loss: 6.395015716552734
Iteration 323, Loss: 6.334794044494629
Iteration 324, Loss: 6.2555060386657715
Iteration 325, Loss: 5.889004230499268
Iteration 326, Loss: 6.077678203582764
Iteration 327, Loss: 6.211425304412842
Iteration 328, Loss: 6.242903709411621
Iteration 329, Loss: 6.210357189178467
Iteration 330, Loss: 6.399832725524902
Iteration 331, Loss: 6.329641342163086
Iteration 332, Loss: 6.333877086639404
Iteration 333, Loss: 5.774512767791748
Iteration 334, Loss: 6.042476177215576
Iteration 335, Loss: 6.270897388458252
Iteration 336, Loss: 6.753158092498779
Iteration 337, Loss: 6.36738395690918
Iteration 338, Loss: 5.997739791870117
Iteration 339, Loss: 6.007079124450684
Iteration 340, Loss: 5.809516429901123
Iteration 341, Loss: 6.142219066619873
Iteration 342, Loss: 6.1568169593811035
Iteration 343, Loss: 5.980779647827148
Iteration 344, Loss: 5.785397052764893
Iteration 345, Loss: 6.096879482269287
Iteration 346, Loss: 5.969233989715576
Iteration 347, Loss: 6.22509765625
Iteration 348, Loss: 6.020625591278076
Iteration 349, Loss: 6.208990097045898
Iteration 350, Loss: 6.176543235778809
Iteration 351, Loss: 6.105291366577148
Iteration 352, Loss: 6.281035900115967
Iteration 353, Loss: 6.222489833831787
Iteration 354, Loss: 6.139886379241943
Iteration 355, Loss: 6.015093803405762
Iteration 356, Loss: 5.951472282409668
Iteration 357, Loss: 5.933074951171875
Iteration 358, Loss: 6.3280534744262695
Iteration 359, Loss: 6.085971832275391
Iteration 360, Loss: 6.119329929351807
Iteration 361, Loss: 6.070293426513672
Iteration 362, Loss: 6.049040794372559
Iteration 363, Loss: 6.004417896270752
Iteration 364, Loss: 6.12463903427124
Iteration 365, Loss: 6.1717529296875
Iteration 366, Loss: 6.545691013336182
Iteration 367, Loss: 6.301636695861816
Iteration 368, Loss: 6.08410120010376
Iteration 369, Loss: 6.32230806350708
Iteration 370, Loss: 6.088473320007324
Iteration 371, Loss: 6.063708305358887
Iteration 372, Loss: 6.003433704376221
Iteration 373, Loss: 6.340000152587891
Iteration 374, Loss: 5.841696739196777
Iteration 375, Loss: 6.395064830780029
Iteration 376, Loss: 6.168150901794434
Iteration 377, Loss: 5.957202434539795
Iteration 378, Loss: 5.655099391937256
Iteration 379, Loss: 6.293838024139404
Iteration 380, Loss: 6.1018476486206055
Iteration 381, Loss: 6.473297595977783
Iteration 382, Loss: 6.476485729217529
Iteration 383, Loss: 6.521420478820801
Iteration 384, Loss: 6.535269737243652
Iteration 385, Loss: 6.233224868774414
Iteration 386, Loss: 5.870925426483154
Iteration 387, Loss: 5.926155090332031
Iteration 388, Loss: 6.388017654418945
Iteration 389, Loss: 5.9650468826293945
Iteration 390, Loss: 6.043442249298096
Iteration 391, Loss: 6.086840629577637
Iteration 392, Loss: 6.2215752601623535
Iteration 393, Loss: 5.868383407592773
Iteration 394, Loss: 6.198903560638428
Iteration 395, Loss: 5.667706489562988
Iteration 396, Loss: 6.079715728759766
Iteration 397, Loss: 6.386258602142334
Iteration 398, Loss: 6.392340660095215
Iteration 399, Loss: 6.01301908493042
Iteration 400, Loss: 5.999163627624512
Iteration 401, Loss: 6.298977375030518
Iteration 402, Loss: 6.524895191192627
Iteration 403, Loss: 5.776146411895752
Iteration 404, Loss: 6.03837776184082
Iteration 405, Loss: 6.413126468658447
Iteration 406, Loss: 6.365396499633789
Iteration 407, Loss: 6.177230358123779
