WE HAVE TOKENIZER
loaded tokenizer
<sentencepiece.SentencePieceProcessor; proxy of <Swig Object of type 'sentencepiece::SentencePieceProcessor *' at 0x30abfdce0> >
DONE
TINYSTORIES DATASET LOADED...
Iteration 265, Loss: 5.696010112762451
Iteration 266, Loss: 6.157271862030029
Iteration 267, Loss: 5.770623683929443
Iteration 268, Loss: 6.376255512237549
Iteration 269, Loss: 5.769682884216309
Iteration 270, Loss: 6.044153690338135
Iteration 271, Loss: 6.3134660720825195
Iteration 272, Loss: 6.310211658477783
Iteration 273, Loss: 6.517475605010986
Iteration 274, Loss: 6.171125888824463
Iteration 275, Loss: 6.10128927230835
Iteration 276, Loss: 6.258195400238037
Iteration 277, Loss: 6.075987339019775
Iteration 278, Loss: 6.095674991607666
Iteration 279, Loss: 5.9304585456848145
Iteration 280, Loss: 6.0974626541137695
Iteration 281, Loss: 6.247967720031738
Iteration 282, Loss: 6.066813945770264
Iteration 283, Loss: 6.34137487411499
Iteration 284, Loss: 5.93686056137085
Iteration 285, Loss: 6.186698913574219
Iteration 286, Loss: 6.191604137420654
Iteration 287, Loss: 6.329593181610107
Iteration 288, Loss: 6.429788589477539
Iteration 289, Loss: 6.2806854248046875
Iteration 290, Loss: 6.347712993621826
Iteration 291, Loss: 5.9617204666137695
Iteration 292, Loss: 6.016785621643066
Iteration 293, Loss: 6.175485134124756
Iteration 294, Loss: 6.170985221862793
Iteration 295, Loss: 6.211037635803223
Iteration 296, Loss: 6.374892711639404
Iteration 297, Loss: 6.084865093231201
Iteration 298, Loss: 6.098590850830078
Iteration 299, Loss: 6.229582786560059
Iteration 300, Loss: 6.007119178771973
Iteration 301, Loss: 6.460502624511719
Iteration 302, Loss: 6.102331638336182
Iteration 303, Loss: 6.168313503265381
Iteration 304, Loss: 6.265697479248047
Iteration 305, Loss: 6.04727840423584
Iteration 306, Loss: 6.40375280380249
Iteration 307, Loss: 6.411821365356445
Iteration 308, Loss: 6.3200273513793945
Iteration 309, Loss: 5.661599636077881
Iteration 310, Loss: 6.393609046936035
Iteration 311, Loss: 6.078678131103516
Iteration 312, Loss: 5.7367706298828125
Iteration 313, Loss: 6.124053478240967
Iteration 314, Loss: 6.223284721374512
Iteration 315, Loss: 6.090728282928467
Iteration 316, Loss: 5.979658126831055
Iteration 317, Loss: 6.189922332763672
Iteration 318, Loss: 6.579295635223389
Iteration 319, Loss: 6.170581817626953
Iteration 320, Loss: 6.4596638679504395
Iteration 321, Loss: 6.264669418334961
Iteration 322, Loss: 6.150420665740967
Iteration 323, Loss: 5.7782392501831055
Iteration 324, Loss: 5.954560279846191
Iteration 325, Loss: 6.286658763885498
Iteration 326, Loss: 5.903809547424316
Iteration 327, Loss: 5.905670166015625
Iteration 328, Loss: 6.328644275665283
Iteration 329, Loss: 5.839925765991211
Iteration 330, Loss: 5.790271282196045
Iteration 331, Loss: 6.442731857299805
Iteration 332, Loss: 6.258327960968018
Iteration 333, Loss: 6.4594855308532715
Iteration 334, Loss: 6.170233726501465
Iteration 335, Loss: 5.9560370445251465
Iteration 336, Loss: 6.436703681945801
Iteration 337, Loss: 6.07145881652832
Iteration 338, Loss: 5.631689071655273
Iteration 339, Loss: 6.099581718444824
Iteration 340, Loss: 5.949490070343018
Iteration 341, Loss: 6.060343265533447
Iteration 342, Loss: 6.591864109039307
Iteration 343, Loss: 5.832853317260742
Iteration 344, Loss: 6.640293121337891
Iteration 345, Loss: 5.906912326812744
Iteration 346, Loss: 6.436509609222412
Iteration 347, Loss: 6.093899250030518
Iteration 348, Loss: 6.187047481536865
Iteration 349, Loss: 6.013800621032715
Iteration 350, Loss: 5.836410045623779
Iteration 351, Loss: 6.057167053222656
Iteration 352, Loss: 6.106113910675049
Iteration 353, Loss: 6.091944694519043
Iteration 354, Loss: 6.26652717590332
Iteration 355, Loss: 6.113790035247803
Iteration 356, Loss: 5.893474578857422
Iteration 357, Loss: 6.008557319641113
Iteration 358, Loss: 6.061122894287109
Iteration 359, Loss: 5.853878974914551
Iteration 360, Loss: 6.299449443817139
Iteration 361, Loss: 6.064698219299316
Iteration 362, Loss: 6.003479480743408
Iteration 363, Loss: 6.7349324226379395
Iteration 364, Loss: 6.387010097503662
Iteration 365, Loss: 6.003088474273682
Iteration 366, Loss: 6.227473735809326
Iteration 367, Loss: 6.422332286834717
Iteration 368, Loss: 6.323314666748047
Iteration 369, Loss: 6.221114158630371
Iteration 370, Loss: 5.827917098999023
Iteration 371, Loss: 5.978130340576172
Iteration 372, Loss: 6.172531604766846
Iteration 373, Loss: 6.0839080810546875
Iteration 374, Loss: 6.060459613800049
Iteration 375, Loss: 6.2370524406433105
Iteration 376, Loss: 6.059349536895752
Iteration 377, Loss: 6.103220462799072
Iteration 378, Loss: 5.918396472930908
Iteration 379, Loss: 6.25715970993042
Iteration 380, Loss: 6.420445919036865
Iteration 381, Loss: 6.209039211273193
Iteration 382, Loss: 6.060634613037109
Iteration 383, Loss: 6.0052337646484375
Iteration 384, Loss: 6.231876850128174
Iteration 385, Loss: 6.275904655456543
Iteration 386, Loss: 5.879233360290527
Iteration 387, Loss: 6.398380279541016
Iteration 388, Loss: 6.301242351531982
Iteration 389, Loss: 5.890577793121338
Iteration 390, Loss: 5.620358943939209
Iteration 391, Loss: 6.172397136688232
Iteration 392, Loss: 6.1637983322143555
Iteration 393, Loss: 5.8594889640808105
Iteration 394, Loss: 6.076746940612793
Iteration 395, Loss: 6.239237308502197
Iteration 396, Loss: 6.412707328796387
Iteration 397, Loss: 5.960239410400391
Iteration 398, Loss: 6.242885112762451
Iteration 399, Loss: 5.974395751953125
Iteration 400, Loss: 6.363829135894775
Iteration 401, Loss: 6.367443561553955
Iteration 402, Loss: 5.9677910804748535
Iteration 403, Loss: 6.081844329833984
Iteration 404, Loss: 6.362372875213623
Iteration 405, Loss: 6.142968654632568
Iteration 406, Loss: 5.903316020965576
Iteration 407, Loss: 6.075376987457275
Iteration 408, Loss: 6.137267112731934
Iteration 409, Loss: 6.071090221405029
Iteration 410, Loss: 5.819074630737305
Iteration 411, Loss: 5.96536922454834
Iteration 412, Loss: 6.227381229400635
Iteration 413, Loss: 6.250789165496826
Iteration 414, Loss: 5.695937156677246
Iteration 415, Loss: 6.433149814605713
Iteration 416, Loss: 6.130187034606934
Iteration 417, Loss: 6.289183139801025
Iteration 418, Loss: 5.939390182495117
Iteration 419, Loss: 5.864044666290283
Iteration 420, Loss: 6.1999640464782715
Iteration 421, Loss: 6.4384026527404785
Iteration 422, Loss: 5.913968563079834
Iteration 423, Loss: 5.966007709503174
Iteration 424, Loss: 6.253700256347656
Iteration 425, Loss: 6.2193074226379395
Iteration 426, Loss: 6.169848918914795
Iteration 427, Loss: 5.997161865234375
Iteration 428, Loss: 6.3365960121154785
Iteration 429, Loss: 6.153599262237549
Iteration 430, Loss: 6.352145671844482
Iteration 431, Loss: 5.724249839782715
Iteration 432, Loss: 7.067555904388428
Iteration 433, Loss: 6.249900817871094
Iteration 434, Loss: 5.895876407623291
Iteration 435, Loss: 6.411877155303955
Iteration 436, Loss: 6.368746280670166
Iteration 437, Loss: 6.196840286254883
Iteration 438, Loss: 6.201125621795654
Iteration 439, Loss: 6.306962966918945
Iteration 440, Loss: 6.123157024383545
Iteration 441, Loss: 6.227144718170166
Iteration 442, Loss: 5.923923492431641
Iteration 443, Loss: 6.234225273132324
Iteration 444, Loss: 5.987393856048584
Iteration 445, Loss: 5.767833232879639
Iteration 446, Loss: 6.028051853179932
Iteration 447, Loss: 5.864267826080322
Iteration 448, Loss: 6.300162315368652
Iteration 449, Loss: 6.662786483764648
Iteration 450, Loss: 5.779002666473389
Iteration 451, Loss: 6.636221885681152
Iteration 452, Loss: 5.847607612609863
Iteration 453, Loss: 6.381618976593018
Iteration 454, Loss: 5.969257831573486
Iteration 455, Loss: 6.138247966766357
Iteration 456, Loss: 5.911954402923584
Iteration 457, Loss: 6.10161828994751
Iteration 458, Loss: 5.997549057006836
Iteration 459, Loss: 6.510542392730713
Iteration 460, Loss: 5.861671447753906
Iteration 461, Loss: 6.034966468811035
Iteration 462, Loss: 6.146923065185547
Iteration 463, Loss: 6.1690239906311035
Iteration 464, Loss: 6.215402126312256
Iteration 465, Loss: 6.556958198547363
Iteration 466, Loss: 5.967706680297852
Iteration 467, Loss: 6.707021236419678
Iteration 468, Loss: 6.13095235824585
Iteration 469, Loss: 6.383800506591797
Iteration 470, Loss: 6.076091289520264
Iteration 471, Loss: 5.852600574493408
Iteration 472, Loss: 6.3848185539245605
Iteration 473, Loss: 6.611189365386963
